Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
JMGCORP,JMG Corporation Ltd,JMG CORPORATION LTD.,P ,N,N,100,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
JOHNPHARMA,JOHNSON PHARMACARE LIMITED,Johnson Pharmacare Ltd,X ,N,N,100,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
JOINDRE,Joindre Capital Services Ltd.,JOINDRE CAPITAL SERVICES LTD.,X ,N,N,100,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
JOINTECAED,Jointeca Education Solutions Limited,JOINTECA EDUCATION SOLUTIONS LTD.,M ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
JONJUA,Jonjua Overseas Limited,Jonjua Overseas Ltd,M ,N,N,100,Services,Services,Commercial Services & Supplies,Consulting Services
JOONKTOLL,Joonktollee Tea & Industries Limited,Joonktollee Tea & Industries Ltd,X ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
JOSTS,"Josts Engineering Co. Ltd.,",JOST'S ENGINEERING CO.LTD.,X ,N,N,100,Industrials,Capital Goods,Industrial Manufacturing,Industrial Equipments
JOYREALTY,Joy Realty Limited,Joy Realty Limited,XT,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
JPASSOCIAT,Jaiprakash Associates Limited,JAIPRAKASH ASSOCIATES LTD.,A ,N,N,100,Industrials,Construction,Construction,Civil Construction
JPINFRATEC,Jaypee Infratech Limited,Jaypee Infratech Ltd,T ,N,N,100,Industrials,Construction,Construction,Civil Construction
JPOLYINVST,JINDAL POLY INVESTMENT AND FINANCE COMPANY LIMITED,Jindal Poly Investment and Finance Company Ltd,B ,N,N,100,Financial Services,Financial Services,Finance,Investment Company
JPPOWER,Jaiprakash Power Ventures Limited,Jaiprakash Power Ventures Limited,A ,N,N,100,Utilities,Power,Power,Electric Utilities
JPTRLES,"Jupiter Industries & Leasing Ltd.,",JUPITER INDUSTRIES & LEASING LTD.,P ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
JPTSEC,JPT Securities Ltd.,JPT SECURITIES LTD.,XT,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
JRELTD,Justride Enterprises Limited,Justride Enterprises Ltd,P ,N,N,100,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
JRFOODS,"J.R. Foods Limited,",J.R.FOODS LTD.,XT,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
JSGLEASING,JSG Leasing Limited,JSG Leasing Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Other Financial Services
JSHL,JLA Infraville Shoppers Limited,JLA Infraville Shoppers Ltd,M ,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
JSL,Jindal Stainless Limited,JINDAL STAINLESS LTD.,A ,N,N,100,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
JSLHISAR,Jindal Stainless Hisar Limited,Jindal Stainless (Hisar) Ltd,A ,N,N,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
JSLINDL,"JSL Industries Ltd.,",JSL INDUSTRIES LTD.,XT,N,N,100,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
JSTL,Jeevan Scientific Technology Limited,Jeevan Scientific Technology Ltd,X ,N,N,100,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
JSWENERGY,JSW Energy Limited,JSW Energy Ltd,A ,N,N,100,Utilities,Power,Power,Electric Utilities
JSWHL,JSW Holdings Limited,JSW Holdings Limited,A ,N,N,100,Financial Services,Financial Services,Finance,Investment Company
JSWISPL,JSW ISPAT SPECIAL PRODUCTS LIMITED,JSW Ispat Special Products Ltd,A ,N,N,100,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
JSWSTEEL,JSW Steel Limited,JSW STEEL LTD.,A ,N,N,100,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
JTAPARIA,J.Taparia Projects Ltd,J. Taparia Projects Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Investment Company
JTEKTINDIA,JTEKT India Limited,Jtekt India Ltd,B ,N,N,100,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
JTLINFRA,JTL INFRA LIMITED,JTL INFRA LTD.,B ,N,N,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
JUBLFOOD,Jubilant Foodworks Limited,Jubilant FoodWorks Ltd,A ,N,N,100,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
JUBLINDS,Jubilant Industries Limited,JUBILANT INDUSTRIES LTD.,B ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
JUBLINGREA,Jubilant Ingrevia Limited,Jubilant Ingrevia Ltd,A ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
JUBLPHARMA,JUBILANT PHARMOVA LIMITED,Jubilant Pharmova Ltd,A ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
JUMBFNL,"Jumbo Finance Ltd.,",JUMBO FINANCE LTD.,XT,N,N,100,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
JUMBO,Jumbo Bag ltd.,JUMBO BAG LTD.,X ,N,N,100,Industrials,Capital Goods,Industrial Products,Packaging
JUNIORBEES,Reliance Mutual Fund-Permitted,Nippon India ETF Nifty Next 50 Junior BeES,B ,N,N,100,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme - ETF
JUPITERIN,Jupiter Infomedia Limited,JUPITER INFOMEDIA LTD.,X ,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
JUSTDIAL,Just Dial Limited,JUST DIAL LTD.,A ,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
JWL,JUPITER WAGONS LIMITED,Jupiter Wagons Ltd,B ,N,N,100,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
JYOTHYLAB,JYOTHY LABS LIMITED,Jyothy Labs Ltd,A ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
JYOTI,"Jyoti Ltd.,",JYOTI LTD.-$,X ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
JYOTIN,Jyot International Marketing Limited,Jyot International Marketing Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Other Financial Services
JYOTIRES,"Jyoti Resins & Adhesives Ltd,",JYOTI RESINS & ADHESIVES LTD.,X ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
JYOTISTRUC,"Jyoti Structures Ltd.,",JYOTI STRUCTURES LTD.,Z ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
KAARYAFSL,Kaarya Facilities and Services Limited,Kaarya Facilities and Services Ltd,M ,N,N,100,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
KABRADG,Kabra Drugs Ltd,KABRA DRUGS LTD.,XT,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
KABRAEXTRU,Kabra Extrusion Technik Ltd,KABRA EXTRUSIONTECHNIK LTD.,B ,N,N,100,Industrials,Capital Goods,Industrial Manufacturing,Industrial Equipments
KABSON,Kabsons Industries Ltd.,KABSONS INDUSTRIES LTD.,XT,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
KACHCHH,Kachchh Minerals Ltd.,KACHCHH MINERALS LTD.,XT,N,N,100,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
KACL,Kaiser Corporation Limited,Kaiser Corporation Limited,XT,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
KAIRA,"Kaira Can Co. Ltd.,",KAIRA CAN CO.LTD.,X ,N,N,100,Industrials,Capital Goods,Industrial Products,Packaging
KAJARIACER,Kajaria Ceramics Ltd,KAJARIA CERAMICS LTD.,A ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing, Flooring"
KAJARIR,KIC Metaliks Ltd.,KIC METALIKS LTD.,X ,N,N,100,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd.,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,B ,N,N,100,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
KAKTEX,"Kakatiya Textiles Ltd.,",KAKATIYA TEXTILES LTD.,XT,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
KALLAM,KALLAM TEXTILES LTD,Kallam Textiles Ltd-$,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
KALPATPOWR,Kalpataru Power Transmission Ltd.,KALPATARU POWER TRANSMISSION LTD.,A ,N,N,100,Industrials,Construction,Construction,"Engineering, Designing & Construction"
KALYANIFRG,Kalyani Forge Ltd.,KALYANI FORGE LTD.,T ,N,N,100,Industrials,Capital Goods,Industrial Products,Castings & Forgings
KALYANKJIL,Kalyan Jewellers India Limited,Kalyan Jewellers India Ltd,A ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
KAMADGIRI,Kamadgiri Fashion Limited,KAMADGIRI FASHION LTD.-$,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
KAMAHOLD,Kama Holdings Limited,Kama Holdings Limited-$,B ,N,N,100,Financial Services,Financial Services,Finance,Holding Company
KAMANWALA,Kamanwala Housing Construction Ltd,KAMANWALA HOUSING CONSTRUCTION LTD.,X ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
KAMATHOTEL,Kamat Hotels India ltd.,KAMAT HOTELS (INDIA) LTD.,B ,N,N,100,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
KAMDHENU,Kamdhenu Limited,Kamdhenu Ltd,B ,N,N,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
KANANIIND,Kanani Industries Ltd,KANANI INDUSTRIES LTD.,B ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
KANCHI,Kanchi Karpooram Ltd.,Kanchi Karpooram Ltd,X ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
KANCOTEA,KANCO TEA & INDUSTRIES LIMITED,Kanco Tea & Industries Ltd,X ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
KANDAGIRI,Kandagiri Spinning Mills Ltd.,KANDAGIRI SPINNING MILLS LTD.-$,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
KANELIND,Kanel Industries Limited,Kanel Industries Limited,XT,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
KANORICHEM,Kanoria Chemicals & Industries Ltd.,KANORIA CHEMICALS & INDUSTRIES LTD.,B ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
KANPRPLA,Kanpur Plastipack Limited,KANPUR PLASTIPACK LTD.,B ,N,N,100,Industrials,Capital Goods,Industrial Products,Packaging
KANSAINER,Kansai Nerolac Paints,KANSAI NEROLAC PAINTS LTD.,A ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
KANSHST,Kanishk Steel Industries Ltd,KANISHK STEEL INDUSTRIES LTD.,XT,N,N,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
KANUNGO,KANUNGO FINANCIERS LIMITED,Kanungo Financiers Ltd,X ,N,N,100,Financial Services,Financial Services,Finance,Other Financial Services
KAPILCO,"Kapil Cotex  Ltd.,",KAPIL COTEX LTD.,XT,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
KAPILRAJ,Kapil Raj Finance Ltd.,Kapil Raj Finance Ltd,X ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
KARANWO,Karan Woo-sin ltd.,KARAN WOO-SIN LTD.,X ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
KARMAENG,Karma Energy Limited,KARMA ENERGY LTD.,B ,N,N,100,Utilities,Power,Power,Electric Utilities
KARNAVATI,Karnavati Finance Limited,Karnavati Finance Ltd,T ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
KARTKIN,"Kartik Investments Trust Ltd.,",KARTIK INVESTMENTS TRUST LTD.,XT,N,N,100,Financial Services,Financial Services,Finance,Other Financial Services
KARURVYSYA,Karur Vysya Bank Ltd.,KARUR VYSYA BANK LTD.,B ,N,N,100,Financial Services,Financial Services,Banks,Private Sector Bank
KATRSPG,"Katare Spinning Mills Ltd.,",KATARE SPINNING MILLS LTD.,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
KAUSHALYA,Kaushalya Infrastructure Development Corporation Ltd,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,B ,N,N,100,Industrials,Construction,Construction,Civil Construction
KAVVERITEL,KAVERI TELECOM PRODUCTS LTD.,KAVVERI TELECOM PRODUCTS LTD.-$,B ,N,N,100,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
KAYA,Kaya Limited,Kaya Ltd,B ,N,N,100,Consumer Discretionary,Consumer Services,Leisure Services,Wellness
KAYCEEI,"Kaycee Industries Ltd.,",KAYCEE INDUSTRIES LTD.,X ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
KAYPOWR,Kay Power And Paper Ltd,KAY POWER AND PAPER LTD.,X ,N,N,100,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
KBCGLOBAL,KBC GLOBAL LIMITED,KBC Global Ltd,B ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
KBSINDIA,KBS INDIA LIMITED,KBS INDIA LIMITED,X ,N,N,100,Financial Services,Financial Services,Finance,Other Financial Services
KCDGROUP,KCD INDUSTRIES INDIA LIMITED,KCD Industries India Ltd,X ,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
KCL,Kabra Commercial Limited,Kabra Commercial Ltd,XT,N,N,100,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal
KCLINFRA,KCL Infra Projects Limited,KCL Infra Projects Ltd,X ,N,N,100,Industrials,Construction,Construction,Civil Construction
KCP,K.C.P. LTD,K.C.P.LTD.,B ,N,N,100,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
KCPSUGIND,K C P SUGAR AND INDUSTRIES CORPORATION LTD.,KCP SUGAR & INDUSTRIES CORPORATION LTD.,B ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
KCSL,Karnimata Cold Storage Limited,Karnimata Cold Storage Ltd,M ,N,N,100,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
KDDL,KDDL Ltd,KDDL LTD.-$,B ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
KDL,KKRRAFTON Developers Limited,KKRRAFTON Developers Ltd,XT,N,N,100,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
KDLL,KD LEISURES LIMITED,KD Leisures Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Other Financial Services
KDML,Khemani Distributors & Marketing Limited,Khemani Distributors & Marketing Ltd,M ,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Distributors
KEC,KEC International Ltd.,KEC INTERNATIONAL LTD.,A ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
KECL,KIRLOSKAR ELECTRIC COMPANY LTD.,Kirloskar Electric Company Ltd,B ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
KEDIACN,"Kedia Construction Co. Ltd.,",KEDIA CONSTRUCTION CO.LTD.,XT,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
KEEPLEARN,DSJ KEEP LEARNING LIMITED,DSJ keep Learning Ltd,T ,N,N,100,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
KEERTHI,Keerthi Industries Ltd,KEERTHI INDUSTRIES LTD.,XT,N,N,100,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
KEI,KEI Industries Ltd.,KEI INDUSTRIES LTD.,A ,N,D,100,Industrials,Capital Goods,Industrial Products,Cables - Electricals
KEL,Kotia Enterprises Limited,Kotia Enterprises Ltd,X ,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Distributors
KELENRG,Keltech Energies Ltd.,KELTECH ENERGIES LTD.,X ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives
KELLTONTEC,Kellton Tech Solutions Ltd.,Kellton Tech Solutions Ltd.,B ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
KEMISTAR,Kemistar Corporation Limited,Kemistar Corporation Limited,X ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
KEMP,Kemp & Company Limited,KEMP & COMPANY LTD.,X ,N,N,100,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
